Name	Set	ImageFile	Type	Stage	HP	Weakness	Resistance	RetreatCost	Rarity	Text
Ninetales (BS)	BS	BS_012	Fire	Stage 1 - Vulpix	80	Water x2		1	Rare Holo	[C][C] Lure: If your opponent has any Benched Pokemon, choose 1 of them and switch it with his or her Active Pokemon. | [R][R][R][R] Fire Blast: 80 damage. Discard 1 [R] Energy card attached to Ninetales in order to use this attack.
Poliwrath (BS)	BS	BS_013	Water	Stage 2 - Poliwhirl	90	Grass x2		3	Rare Holo	[W][W][C] Water Gun: 30+ damage. Does 30 damage plus 10 more damage for each [W] Energy attached to Poliwrath but not used to pay for this attack's Energy cost. Extra [W] Energy after the 2nd don't count. | [W][W][C][C] Whirlpool: 40 damage. If the Defending Pokemon has any Energy cards attached to it, choose 1 of them and discard it.
Raichu (BS)	BS	BS_014	Lightning	Stage 1 - Pikachu	80	Fighting x2		1	Rare Holo	[L][C][C] Agility: 20 damage. Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Raichu. | [L][L][L][C] Thunder: 60 damage. Flip a coin. If tails, Raichu does 30 damage to itself.
Venusaur (BS)	BS	BS_015	Grass	Stage 2 - Ivysaur	100	Fire x2		2	Rare Holo	Pokemon Power: Energy Trans. As often as you like during your turn (before you attack), you may take 1 [G] Energy card attached to 1 of your Pokemon and attach it to a different one. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed. | [G][G][G][G] Solarbeam: 60 damage.
Zapdos (BS)	BS	BS_016	Lightning	Basic	90		Fighting -30	3	Rare Holo	[L][L][L][C] Thunder: 60 damage. Flip a coin. If tails, Zapdos does 30 damage to itself. | [L][L][L][L] Thunderbolt: 100 damage. Discard all Energy cards attached to Zapdos in order to use this attack.
Beedrill (BS)	BS	BS_017	Grass	Stage 2 - Kakuna	80	Fire x2	Fighting -30	0	Rare	[C][C][C] Twineedle: 30x damage. Flip 2 coins. This attack does 30 damage times the number of heads. | [G][G][G] Poison Sting: 40 damage. Flip a coin. If heads, the Defending Pokemon is now Poisoned.
Dragonair (BS)	BS	BS_018	Colorless	Stage 1 - Dratini	80		Psychic -30	2	Rare	[C][C][C] Slam: 30x damage. Flip 2 coins. This attack does 30 damage times the number of heads. | [C][C][C][C] Hyper Beam: 20 damage. If the Defending Pokemon has any Energy cards attached to it, choose 1 of them and discard it.
Dugtrio (BS)	BS	BS_019	Fighting	Stage 1 - Diglett	70	Grass x2	Lightning -30	2	Rare	[F][F][C] Slash: 40 damage. | [F][F][F][F] Earthquake: 70 damage. Does 10 damage to each of your own Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
Electabuzz (BS)	BS	BS_020	Lightning	Basic	70	Fighting x2		2	Rare	[L] Thundershock: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [L][C] Thunderpunch: 30+ damage. Flip a coin. If heads, this attack does 30 damage plus 10 more damage. If tails, this attack does 30 damage plus Electabuzz does 10 damage to itself.
Electrode (BS)	BS	BS_021	Lightning	Stage 1 - Voltorb	80	Fighting x2		1	Rare	Pokemon Power: Buzzap. At any time during your turn (before your attack), you may Knock Out Electrode and attach it to 1 of your other Pokemon. If you do, choose a type of Energy. Electrode is now an Energy card (instead of a Pokemon) that provides 2 energy of that type. You can't use this power if Electrode is Asleep, Confused, or Paralyzed. | [L][L][L] Electric Shock: 50 damage. Flip a coin. If tails, Electrode does 10 damage to itself.
Pidgeotto (BS)	BS	BS_022	Colorless	Stage 1 - Pidgey	60	Lightning x2	Fighting -30	1	Rare	[C][C] Whirlwind: 20 damage. If your opponent has any Benched Pokemon, he or she chooses 1 of them and switches it with the Defending Pokemon. (Do the damage before switching the Pokemon.) | [C][C][C] Mirror Move: If Pidgeotto was attacked last turn, do the final result of that attack on Pidgeotto to the Defending Pokemon.
Arcanine (BS)	BS	BS_023	Fire	Stage 1 - Growlithe	100	Water x2		3	Uncommon	[R][R][C] Flamethrower: 50 damage. Discard 1 [R] Energy card attached to Arcanine in order to use this attack. | [R][R][C][C] Take Down: 80 damage. Arcanine does 30 damage to itself.
Charmeleon (BS)	BS	BS_024	Fire	Stage 1 - Charmander	80	Water x2		1	Uncommon	[C][C][C] Slash: 30 damage. | [R][R][C] Flamethrower: 50 damage. Discard 1 [R] Energy card attached to Charmeleon in order to use this attack.
Dewgong (BS)	BS	BS_025	Water	Stage 1 - Seel	80	Lightning x2		3	Uncommon	[W][W][C] Aurora Beam: 50 damage. | [W][W][C][C] Ice Beam: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Dratini (BS)	BS	BS_026	Colorless	Basic	40		Psychic -30	1	Uncommon	[C] Pound: 10 damage.
Farfetch'd (BS)	BS	BS_027	Colorless	Basic	50	Lightning x2	Fighting -30	1	Uncommon	[C] Leek Slap: 30 damage. Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Farfetch'd stays in play (even putting Farfetch'd on the Bench won't let you use it again). | [C][C][C] Pot Smash: 30 damage.
Growlithe (BS)	BS	BS_028	Fire	Basic	60	Water x2		1	Uncommon	[R][C] Flare: 20 damage.
Haunter (BS)	BS	BS_029	Psychic	Stage 1 - Gastly	60		Fighting -30	1	Uncommon	[P] Hypnosis: The Defending Pokemon is now Asleep. | [P][P] Dream Eater: 50 damage. You can't use this attack unless the Defending Pokemon is Asleep.
Ivysaur (BS)	BS	BS_030	Grass	Stage 1 - Bulbasaur	60	Fire x2		1	Uncommon	[G][C][C] Vine Whip: 30 damage. | [G][G][G] Poisonpowder: 20 damage. The Defending Pokemon is now Poisoned.
Jynx (BS)	BS	BS_031	Psychic	Basic	70	Psychic x2		2	Uncommon	[P] Doubleslap: 10x damage. Flip 2 coins. This attack does 10 damage times the number of heads. | [P][P][C] Meditate: 20+ damage. Does 20 damage plus 10 more damage for each damage counter on the Defending Pokemon.
Kadabra (BS)	BS	BS_032	Psychic	Stage 1 - Abra	60	Psychic x2		3	Uncommon	[P][P] Recover: Discard 1 [P] Energy card attached to Kadabra in order to use this attack. Remove all damage counters from Kadabra. | [P][P][C] Super Psy: 50 damage.
Kakuna (BS)	BS	BS_033	Grass	Stage 1 - Weedle	80	Fire x2		2	Uncommon	[C][C] Stiffen: Flip a coin. If heads, prevent all damage done to Kakuna during your opponent's next turn. (Any other effects of attacks still happen.) | [G][G] Poisonpowder: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Poisoned.
Machoke (BS)	BS	BS_034	Fighting	Stage 1 - Machop	80	Psychic x2		3	Uncommon	[F][F][C] Karate Chop: 50- damage. Does 50 damage minus 10 damage for each damage counter on Machoke. | [F][F][C][C] Submission: 60 damage. Machoke does 20 damage to itself.
Magikarp (BS)	BS	BS_035	Water	Basic	30	Lightning x2		1	Uncommon	[C] Tackle: 10 damage. | [W] Flail: 10x damage. Does 10 damage times the number of damage counters on Magikarp.
Magmar (BS)	BS	BS_036	Fire	Basic	50	Water x2		2	Uncommon	[R][R] Fire Punch: 30 damage. | [R][R][C] Flamethrower: 50 damage. Discard 1 [R] Energy card attached to Magmar in order to use this attack.
Nidorino (BS)	BS	BS_037	Grass	Stage 1 - Nidoran Male	60	Psychic x2		1	Uncommon	[G][C][C] Double Kick: 30x damage. Flip 2 coins. This attack does 30 damage times the number of heads. | [G][G][C][C] Horn Drill: 50 damage.
Poliwhirl (BS)	BS	BS_038	Water	Stage 1 - Poliwag	60	Grass x2		1	Uncommon	[W][W] Amnesia: Choose 1 of the Defending Pokemon's attacks. That Pokemon can't use that attack during your opponent's next turn. | [W][W][C] Doubleslap: 30x damage. Flip 2 coins. This attack does 30 damage times the number of heads.
Porygon (BS)	BS	BS_039	Colorless	Basic	30	Fighting x2	Psychic -30	1	Uncommon	[C] Conversion 1: If the Defending Pokemon has a Weakness, you may change it to a type of your choice other than Colorless. | [C][C] Conversion 2: Change Porygon's Resistance to a type of your choice other than Colorless.
Raticate (BS)	BS	BS_040	Colorless	Stage 1 - Rattata	60	Fighting x2	Psychic -30	1	Uncommon	[C] Bite: 20 damage. | [C][C][C] Super Fang: ? damage. Does damage to the Defending Pokemon equal to half the Defending Pokemon's remaining HP (rounded up to the nearest 10).
Seel (BS)	BS	BS_041	Water	Basic	60	Lightning x2		1	Uncommon	[W] Headbutt: 10 damage.
Wartortle (BS)	BS	BS_042	Water	Stage 1 - Squirtle	70	Lightning x2		1	Uncommon	[W][C] Withdraw: Flip a coin. If heads, prevent all damage done to Wartortle during your opponent's next turn. (Any other effects of attacks still happen.) | [W][C][C] Bite: 40 damage.
Abra (BS)	BS	BS_043	Psychic	Basic	30	Psychic x2		0	Common	[P] Psyshock: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Bulbasaur (BS)	BS	BS_044	Grass	Basic	40	Fire x2		1	Common	[G][G] Leech Seed: 20 damage. Unless all damage from this attack is prevented, you may remove 1 damage counter from Bulbasaur.
Caterpie (BS)	BS	BS_045	Grass	Basic	40	Fire x2		1	Common	[G] String Shot: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Charmander (BS)	BS	BS_046	Fire	Basic	50	Water x2		1	Common	[C] Scratch: 10 damage. | [R][C] Ember: 30 damage. Discard 1 [R] Energy card attached to Charmander in order to use this attack.
Diglett (BS)	BS	BS_047	Fighting	Basic	30	Grass x2	Lightning -30	0	Common	[F] Dig: 10 damage. | [F][F] Mud Slap: 30 damage.
Doduo (BS)	BS	BS_048	Colorless	Basic	50	Lightning x2	Fighting -30	0	Common	[C] Fury Attack: 10x damage. Flip 2 coins. This attack does 10 damage times the number of heads.
Drowzee (BS)	BS	BS_049	Psychic	Basic	50	Psychic x2		1	Common	[C] Pound: 10 damage. | [P][P] Confuse Ray: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Confused.
Gastly (BS)	BS	BS_050	Psychic	Basic	30		Fighting -30	0	Common	[P] Sleeping Gas: Flip a coin. If heads, the Defending Pokemon is now Asleep. | [P][C] Destiny Bond: Discard 1 [P] Energy card attached to Gastly in order to use this attack. If a Pokemon Knocks Out Gastly during your opponent's next turn, Knock Out that Pokemon.
Koffing (BS)	BS	BS_051	Grass	Basic	50	Psychic x2		1	Common	[G][G] Foul Gas: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Poisoned; if tails, it is now Confused.
Machop (BS)	BS	BS_052	Fighting	Basic	50	Psychic x2		1	Common	[F] Low Kick: 20 damage.
Magnemite (BS)	BS	BS_053	Lightning	Basic	40	Fighting x2		1	Common	[L] Thunder Wave: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [L][C] Selfdestruct: 40 damage. Does 10 damage to each Pokemon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokemon.) Magnemite does 40 damage to itself.
Metapod (BS)	BS	BS_054	Grass	Stage 1 - Caterpie	70	Fire x2		2	Common	[C][C] Stiffen: Flip a coin. If heads, prevent all damage done to Metapod during your opponent's next turn. (Any other effects of attacks still happen.) | [G][G] Stun Spore: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Nidoran Male (BS)	BS	BS_055	Grass	Basic	40	Psychic x2		1	Common	[G] Horn Hazard: 30 damage. Flip a coin. If tails, this attack does nothing.
Onix (BS)	BS	BS_056	Fighting	Basic	90	Grass x2		3	Common	[F] Rock Throw: 10 damage. | [F][F] Harden: During your opponent's next turn, whenever 30 or less damage is done to Onix (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.)
Pidgey (BS)	BS	BS_057	Colorless	Basic	40	Lightning x2	Fighting -30	1	Common	[C][C] Whirlwind: 10 damage. If your opponent has any Benched Pokemon, he or she chooses 1 of them and switches it with the Defending Pokemon. (Do the damage before switching the Pokemon.)
Pikachu (BS)	BS	BS_058	Lightning	Basic	40	Fighting x2		1	Common	[C] Gnaw: 10 damage. | [L][C] Thunder Jolt: 30 damage. Flip a coin. If tails, Pikachu does 10 damage to itself.
Poliwag (BS)	BS	BS_059	Water	Basic	40	Grass x2		1	Common	[W] Water Gun: 10+ damage. Does 10 damage plus 10 more damage for each [W] Energy attached to Poliwag but not used to pay for this attack's Energy cost. Extra [W] Energy after the 2nd don't count.
Ponyta (BS)	BS	BS_060	Fire	Basic	40	Water x2		1	Common	[C][C] Smash Kick: 20 damage. | [R][R] Flame Tail: 30 damage.
Rattata (BS)	BS	BS_061	Colorless	Basic	30	Fighting x2	Psychic -30	0	Common	[C] Bite: 20 damage.
Sandshrew (BS)	BS	BS_062	Fighting	Basic	40	Grass x2	Lightning -30	1	Common	[F] Sand-attack: 10 damage. If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.
Squirtle (BS)	BS	BS_063	Water	Basic	40	Lightning x2		1	Common	[W] Bubble: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [W][C] Withdraw: Flip a coin. If heads, prevent all damage done to Squirtle during your opponent's next turn. (Any other effects of opponent's attacks still happen.)
Starmie (BS)	BS	BS_064	Water	Stage 1 - Staryu	60	Lightning x2		1	Common	[W][W] Recover: Discard 1 [W] Energy card attached to Starmie in order to use this attack. Remove all damage counters from Starmie. | [W][C][C] Star Freeze: 20 Damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Staryu (BS)	BS	BS_065	Water	Basic	40	Lightning x2		1	Common	[W] Slap: 20 damage.
Tangela (BS)	BS	BS_066	Grass	Basic	50	Fire x2		2	Common	[G][C] Bind: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [G][G][G] Poisonpowder: 20 damage. The Defending Pokemon is now Poisoned.
Voltorb (BS)	BS	BS_067	Lightning	Basic	40	Fighting x2		1	Common	[C] Tackle: 10 damage.
Vulpix (BS)	BS	BS_068	Fire	Basic	50	Water x2		1	Common	[R][R] Confuse Ray: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Confused.
Weedle (BS)	BS	BS_069	Grass	Basic	40	Fire x2		1	Common	[G] Poison Sting: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Poisoned.
Clefairy Doll (BS)	BS	BS_070		Trainer	10				Rare	Play Clefairy Doll as if it were a Basic Pokemon. While in play, Clefairy Doll counts as a Pokemon (instead of a Trainer card). Clefairy Doll has no attacks, can't retreat, and can't be Asleep, Confused, Paralyzed, or Poisoned. If Clefairy Doll is Knocked Out, it doesn't count as a Knocked Out Pokemon. At any time during your turn before your attack, you may discard Clefairy Doll.
Computer Search (BS)	BS	BS_071		Trainer					Rare	Discard 2 of the other cards from you hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.
Devolution Spray (BS)	BS	BS_072		Trainer					Rare	Choose 1 of your own Pokemon in play and a Stage of Evolution. Discard all Evolution cards of that Stage or higher attached to that Pokemon. That Pokemon is no longer Asleep, Confused, Paralyzed, Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).
Impostor Professor Oak (BS)	BS	BS_073		Trainer					Rare	Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.
Item Finder (BS)	BS	BS_074		Trainer					Rare	Discard 2 of the other cards from your hand in order to put a Trainer card from your discard pile into your hand.
Lass (BS)	BS	BS_075		Trainer					Rare	You and your opponent show each other your hands, then shuffle all the Trainer cards from your hands into your decks.
Pokemon Breeder (BS)	BS	BS_076		Trainer					Rare	Put a Stage 2 Evolution card from your hand on the matching Basic Pokemon. You can only play this card when you would be allowed to evolve that Pokemon anyway.
Pokemon Trader (BS)	BS	BS_077		Trainer					Rare	Trade 1 of the Basic Pokemon or Evolution cards in your hand for 1 of the Basic Pokemon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.
Scoop Up (BS)	BS	BS_078		Trainer					Rare	Choose 1 of your Pokemon in play and return its Basic Pokemon card to your hand. (Discard all cards attached to that card.)
Super Energy Removal (BS)	BS	BS_079		Trainer					Rare	Discard 1 Energy card attached to 1 of your Pokemon in order to choose 1 of your opponent's Pokemon and up to 2 Energy cards attached to it. Discard those Energy cards.
Defender (BS)	BS	BS_080		Trainer					Uncommon	Attach Defender to 1 of your Pokemon. At the end of your opponent's next turn, discard Defender. Damage done to that Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).
Energy Retrieval (BS)	BS	BS_081		Trainer					Uncommon	Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.
Full Heal (BS)	BS	BS_082		Trainer					Uncommon	Your Active Pokemon is no longer Asleep, Confused, Paralyzed, or Poisoned.
Maintenance (BS)	BS	BS_083		Trainer					Uncommon	Shuffle 2 of the other cards from your hand into your deck in order to draw a card.
PlusPower (BS)	BS	BS_084		Trainer					Uncommon	Attach PlusPower to your Active Pokemon. At the end of your turn, discard PlusPower. If this Pokemon's attack does damage to the Defending Pokemon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokemon.
Pokemon Center (BS)	BS	BS_085		Trainer					Uncommon	Remove all damage counters from all of your own Pokemon with damage counters on them, then discard all Energy cards attached to those Pokemon.
Pokemon Flute (BS)	BS	BS_086		Trainer					Uncommon	Choose 1 Basic Pokemon card from your opponent's discard pile and put it onto his or her Bench. (You can't play Pokemon Flute if your opponent's Bench is full.)
Pokedex (BS)	BS	BS_087		Trainer					Uncommon	Look at up to 5 cards from the top of your deck and rearrange them as you like.
Professor Oak (BS)	BS	BS_088		Trainer					Uncommon	Discard your hand, then draw 7 cards.
Revive (BS)	BS	BS_089		Trainer					Uncommon	Put 1 Basic Pokemon card from your discard pile onto your Bench. Put damage counters on that Pokemon equal to half its HP (rounded down to the nearest 10). (You can't play Revive if your Bench is full.)
Super Potion (BS)	BS	BS_090		Trainer					Uncommon	Discard 1 Energy card attached to your own Pokemon in order to remove up to 4 damage counters from that Pokemon.
Bill (BS)	BS	BS_091		Trainer					Common	Draw 2 cards.
Energy Removal (BS)	BS	BS_092		Trainer					Common	Choose 1 Energy card attached to 1 of your opponent's Pokemon and discard it.
Gust of Wind (BS)	BS	BS_093		Trainer					Common	Choose 1 of your opponent's Benched Pokemon and switch it with his or her Active Pokemon.
Potion (BS)	BS	BS_094		Trainer					Common	Remove up to 2 damage counters from 1 of your Pokemon.
Switch (BS)	BS	BS_095		Trainer					Common	Switch 1 of your own Benched Pokemon with your Active Pokemon.
Double Colorless Energy (BS)	BS	BS_096		Energy - Special					Uncommon	Provides [C][C] energy. Doesn't count as a basic Energy card.
Fighting Energy (BS)	BS	BS_097		Energy					Energy	
Fire Energy (BS)	BS	BS_098		Energy					Energy	
Grass Energy (BS)	BS	BS_099		Energy					Energy	
Lightning Energy (BS)	BS	BS_100		Energy					Energy	
Psychic Energy (BS)	BS	BS_101		Energy					Energy	
Water Energy (BS)	BS	BS_102		Energy					Energy	
Clefable (JU-1)	JU	JU_001	Colorless	Stage 1 - Clefairy	70	Fighting x2	Psychic -30	2	Rare Holo	[C] Metronome: Choose 1 of the Defending Pokemon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokemon is, Clefable's type is still Colorless.) | [C][C] Minimize: All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).
Electrode (JU-1)	JU	JU_002	Lightning	Stage 1 - Voltorb	90	Fighting x2		1	Rare Holo	[C][C] Tackle: 20 damage. | [L][L][L] Chain Lightning: 20 damage. If the Defending Pokemon isn't Colorless, this attack does 10 damage to each Benched Pokemon of the same type as the Defending Pokemon (including your own).
Flareon (JU-1)	JU	JU_003	Fire	Stage 1 - Eevee	70	Water x2		1	Rare Holo	[C][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage. | [R][R][C][C] Flamethrower: 60 damage. Discard 1 [R] Energy card attached to Flareon in order to use this attack.
Jolteon (JU-1)	JU	JU_004	Lightning	Stage 1 - Eevee	70	Fighting x2		1	Rare Holo	[C][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage. | [L][L][C] Pin Missile: 20x damage. Flip 4 coins. This attack does 20 damage times the number of heads.
Kangaskhan (JU-1)	JU	JU_005	Colorless	Basic	90	Fighting x2	Psychic -30	3	Rare Holo	[C] Fetch: Draw a card. | [C][C][C][C] Comet Punch: 20x damage. Flip 4 coins. This attack does 20 damage times the number of heads.
Mr. Mime (JU-1)	JU	JU_006	Psychic	Basic	40	Psychic x2		1	Rare Holo	Pokemon Power: Invisible Wall. Whenever an attack (including your own) does 30 or more damage to Mr. Mime (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.) This power can't be used if Mr. Mime is Asleep, Confused, or Paralyzed. | [P][C] Meditate: 10+ damage. Does 10 damage plus 10 more damage for each damage counter on the Defending Pokemon.
Nidoqueen (JU-1)	JU	JU_007	Grass	Stage 2 - Nidorina	90	Psychic x2		3	Rare Holo	[G][C] Boyfriends: 20+ damage. Does 20 damage plus 20 more damage for each Nidoking you have in play. | [G][G][C][C] Mega Punch: 50 damage.
Pidgeot (JU-1)	JU	JU_008	Colorless	Stage 2 - Pidgeotto	80	Lightning x2	Fighting -30	0	Rare Holo	[C][C] Wing Attack: 20 damage. | [C][C][C] Hurricane: 30 damage. Unless this attack Knocks Out the Defending Pokemon, return the Defending Pokemon and all cards attached to it to your opponent's hand.
Pinsir (JU-1)	JU	JU_009	Grass	Basic	60	Fire x2		1	Rare Holo	[G][G] Irongrip: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [G][G][C][C] Guillotine: 50 damage.
Scyther (JU-1)	JU	JU_010	Grass	Basic	70	Fire x2	Fighting -30	0	Rare Holo	[G] Swords Dance: During your next turn, Scyther's Slash attack's base damage is 60 instead of 30. | [C][C][C] Slash: 30 damage.
Snorlax (JU-1)	JU	JU_011	Colorless	Basic	90	Fighting x2	Psychic -30	4	Rare Holo	Pokemon Power: Thick Skinned. Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed. | [C][C][C][C] Body Slam: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Vaporeon (JU-1)	JU	JU_012	Water	Stage 1 - Eevee	80	Lightning x2		1	Rare Holo	[C][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage. | [W][W][C] Water Gun: 30+ damage. Does 30 damage plus 10 more damage for each [W] Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra [W] Energy after the 2nd doesn't count.
Venomoth (JU-1)	JU	JU_013	Grass	Stage 1 - Venonat	70	Fire x2	Fighting -30	0	Rare Holo	Pokemon Power: Shift. Once during your turn (before your attack), you may change the type of Venomoth to the type of any other Pokemon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed. | [G][G] Venom Powder: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Confused and Poisoned.
Victreebel (JU-1)	JU	JU_014	Grass	Stage 2 - Weepinbell	80	Fire x2		2	Rare Holo	[G] Lure: If your opponent has any Benched Pokemon, choose 1 of them and switch it with his or her Active Pokemon. | [G][G] Acid: 20 damage. Flip a coin. If heads, the Defending Pokemon can't retreat during your next turn.
Vileplume (JU-1)	JU	JU_015	Grass	Stage 2 - Gloom	80	Fire x2		2	Rare Holo	Pokemon Power: Heal. Once during your turn (before your attack), you may flip a coin. If heads, remove 1 damage counter from 1 of your Pokemon. This power can't be used if Vileplume is Asleep, Confused, or Paralyzed. | [G][G][G] Petal Dance: 40x damage. Flip 3 coins. This attack does 40 damage times the number of heads. Vileplume is now Confused (after doing damage).
